nama,tmt_pns_by_nip,satuan_kerja,unit_kerja,golongan_pangkat,tmt_golongan,eselon,nama_jabatan,tmt_jabatan,status_pegawai,tmt_pegawai,jenis_kelamin,jenjang_pendidikan_awal,jenjang_pendidikan_akhir
"Aang Agustian,BSc.",1986-03,Kecamatan Arcamanik,Seksi Pemerintahan Kec. Arcamanik,III/d,2005-10-01,IV.a,Kepala Seksi Pemerintahan Kec. Arcamanik,2017-01-10,PNS,1988-01-01,Laki-laki,D3,D3
"Agus Kurnia,S.Sos.",1992-03,Kecamatan Arcamanik,"Seksi Ekonomi dan Pembangunan Kel. Cisaranten Bina Harapan, Kelurahan Cisaranten Bina Harapan",III/d,2016-04-01,IV.b,Kepala Seksi Ekonomi dan Pembangunan Kel. Cisaranten Bina Harapan,2017-01-10,PNS,1993-11-01,Laki-laki,D4,S1
"Ani Rosani,S.IP, MAP",1983-03,Kecamatan Arcamanik,Seksi Kesejahteraan Sosial Kec. Arcamanik,IV/a,2015-10-01,IV.a,Kepala Seksi Kesejahteraan Sosial Kec. Arcamanik,2017-03-23,PNS,1984-05-01,Perempuan,SLTA,S2
"Asep Gunawan,SE",1986-03,Kecamatan Arcamanik,"Sekretariat Kel. Cisaranten Bina Harapan, Kelurahan Cisaranten Bina Harapan",III/d,2012-04-01,IV.b,Sekretaris Lurah Kel. Cisaranten Bina Harapan,2017-01-10,PNS,1987-04-01,Laki-laki,SLTA,S1
Budiyono,1986-03,Kecamatan Arcamanik,"Seksi Kesejahteraan Sosial Kel. Cisaranten Endah, Kelurahan Cisaranten Endah",III/c,2009-04-01,IV.b,Kepala Seksi Kesejahteraan Sosial Kel. Cisaranten Endah,2017-01-10,PNS,1987-12-01,Laki-laki,SLTA,SLTA
"Casrinta,S.Sos",1998-03,Kecamatan Arcamanik,"Seksi Pemerintahan Kel. Cisaranten Endah, Kelurahan Cisaranten Endah",III/b,2014-04-01,IV.b,Kepala Seksi Pemerintahan Kel. Cisaranten Endah,2017-01-10,PNS,1999-05-01,Perempuan,SLTA,S1
Dra.Cucun Sukmayanti,1990-11,Kecamatan Arcamanik,Seksi Ekonomi dan Pembangunan Kec. Arcamanik,III/c,2013-10-01,IV.a,Kepala Seksi Ekonomi dan Pembangunan Kec. Arcamanik,2017-01-10,PNS,1992-04-01,Perempuan,SLTA,S1
Dra.Evi Noviani,1996-03,Kecamatan Arcamanik,"SUB BAG KEUANGAN DAN PROGRAM, Sekretariat Kec. Arcamanik",III/d,2008-04-01,IV.b,Kepala Sub Bagian Keuangan dan Program Kec. Arcamanik,2017-03-23,PNS,1997-10-01,Perempuan,S1,S1
"Dra.Heryaningsih,MM",1993-03,Kecamatan Arcamanik,"Sekretariat Kel. Sukamiskin, Kelurahan Sukamiskin",IV/a,2015-10-01,IV.b,Sekretaris Lurah Kel. Sukamiskin,2017-01-10,PNS,1994-10-01,Perempuan,SD,S2
Dra.Tri Rahayu,1992-01,Kecamatan Arcamanik,"SEKRETARIS Kel. Cisaranten Kulon, KELURAHAN CISARANTEN KULON",III/d,2010-04-01,IV.b,SEKRETARIS Kel. Cisaranten Kulon,2017-01-10,PNS,1993-10-01,Perempuan,S1,S1
"Drs. H.Aris Rusdianto,M.Si",1989-03,Kecamatan Arcamanik,Sekretariat Kec. Arcamanik,IV/a,2009-10-01,III.b,Sekretaris Camat Kec. Arcamanik,2017-01-06,PNS,1990-04-01,Laki-laki,SLTA,S2
"Drs.Rachmat Permana,Sm. Hk.",1986-03,Kecamatan Arcamanik,Seksi Ketentraman dan Ketertiban Kec. Arcamanik,III/d,2007-04-01,IV.a,Kepala Seksi Ketentraman dan Ketertiban Kec Arcamanik,2017-01-10,PNS,1987-11-01,Laki-laki,D3,S1
"Grace Feni Pogalin,S.Sos",1986-01,Kecamatan Arcamanik,Seksi Pemberdayaan Masyarakat Kec. Arcamanik,III/d,2016-10-01,IV.a,Kepala Seksi Pemberdayaan Masyarakat Kec. Arcamanik,2017-03-23,PNS,1987-11-01,Perempuan,SLTA,SLTA
"Hj.Tarsah,SE",1987-03,Kecamatan Arcamanik,"Seksi Ekonomi dan Pembangunan Kel. Cisaranten Endah, Kelurahan Cisaranten Endah",III/d,2013-10-01,IV.b,Kepala Seksi Ekonomi dan Pembangunan Kel. Cisaranten Endah,2017-01-10,PNS,1988-04-01,Perempuan,SLTA,S1
"KGS. Yokki Zulkarnaen,SE",2010-01,Kecamatan Arcamanik,"Seksi Kesejahteraan Sosial Kel. Cisaranten Bina Harapan, Kelurahan Cisaranten Bina Harapan",III/b,2014-10-01,IV.b,Kepala Seksi Kesejahteraan Sosial Kel. Cisaranten Bina Harapan,2017-01-10,PNS,2011-10-01,Laki-laki,S1,S1
"Koswara,S.Kp, M.Si",1990-03,Kecamatan Arcamanik,"Seksi Pemerintahan Kel. Cisaranten Bina Harapan, Kelurahan Cisaranten Bina Harapan",III/d,2015-04-01,IV.b,Kepala Seksi Pemerintahan Kel. Cisaranten Bina Harapan,2017-01-10,PNS,1990-10-01,Laki-laki,SLTA,S2
KUSNADI,1986-03,Kecamatan Arcamanik,"Seksi Ekonomi dan Pembangunan Kel. Sukamiskin, Kelurahan Sukamiskin",III/c,2010-04-01,IV.b,Kepala Seksi Ekonomi dan Pembangunan Kel. Sukamiskin,2017-01-10,PNS,1988-03-01,Laki-laki,SLTA,SLTA
"Meiga Fajrina,S.STP., M.AP",2003-12,Kecamatan Arcamanik,"Sub Bagian Kepegawaian, Umum, Data dan Informasi, Sekretariat Kec. Arcamanik",III/c,2015-10-01,IV.b,"Kepala Sub Bagian Kepegawaian, Umum, Data dan Informasi Kec. Arcamanik",2017-01-10,PNS,2005-11-01,Perempuan,SLTA,S2
"Moh Novena Tarmizi,S.Sos.",1988-03,Kecamatan Arcamanik,"Seksi Kesejahteraan Sosial Kel. Cisaranten Kulon, KELURAHAN CISARANTEN KULON",III/d,2010-04-01,IV.b,Kepala Seksi Kesejahteraan Sosial Kel. Cisaranten Kulon,2017-01-10,PNS,1989-04-01,Laki-laki,SLTA,S1
Rachmat,1986-03,Kecamatan Arcamanik,"Seksi Pemerintahan Kel. Sukamiskin, Kelurahan Sukamiskin",III/c,2010-10-01,IV.b,Kepala Seksi Pemerintahan Kel. Sukamiskin,2017-01-10,PNS,1987-11-01,Laki-laki,SLTA,SLTA
"Rahayu,B.Sc.",1986-03,Kecamatan Arcamanik,"Seksi Pemerintahan Kel. Cisaranten Kulon, KELURAHAN CISARANTEN KULON",III/c,2005-04-01,IV.b,Kepala Seksi Pemerintahan Kel. Cisaranten Kulon,2017-01-10,PNS,1988-01-01,Perempuan,D3,D3
"Sri Djuningsih,SE",1993-12,Kecamatan Arcamanik,"Sekretariat Kel. Cisaranten Endah, Kelurahan Cisaranten Endah",III/b,2014-04-01,IV.b,Sekretaris Kel. Cisaranten Endah,2017-01-10,PNS,1995-12-01,Perempuan,SLTA,S1
"Sudaryo,S.AP",1982-06,Kecamatan Arcamanik,"Seksi Kesejahteraan Sosial Kel. Sukamiskin, Kelurahan Sukamiskin",III/b,2013-10-01,IV.b,Kepala Seksi Kesejahteraan Sosial Kel. Sukamiskin,2017-01-10,PNS,1984-06-01,Laki-laki,SD,S1
SURANTO,1994-03,Kecamatan Arcamanik,"SEKSI EKONOMI DAN PEMBANGUNAN Kel. Cisaranten Kulon, KELURAHAN CISARANTEN KULON",III/b,2014-04-01,IV.b,KEPALA SEKSI EKONOMI DAN PEMBANGUNAN Kel. Cisaranten Kulon,2017-01-10,PNS,1995-07-01,Laki-laki,SLTP,SLTA
"Drs. H.Aris Rusdianto,M.Si",1989-03,Kecamatan Arcamanik,Sekretariat Kec. Arcamanik,IV/a,2009-10-01,III.b,Sekretaris Camat Kec. Arcamanik,2017-01-06,PNS,1990-04-01,Laki-laki,SLTA,S2
Drs.Firman Nugraha,1989-12,Kecamatan Arcamanik,,IV/b,2016-10-01,III.a,Camat Arcamanik,2017-01-03,PNS,1991-02-01,Laki-laki,SLTA,S1
"Dra.Heryaningsih,MM",1993-03,Kecamatan Arcamanik,"Sekretariat Kel. Sukamiskin, Kelurahan Sukamiskin",IV/a,2015-10-01,IV.b,Sekretaris Lurah Kel. Sukamiskin,2017-01-10,PNS,1994-10-01,Perempuan,SD,S2
"Asep Gunawan,SE",1986-03,Kecamatan Arcamanik,"Sekretariat Kel. Cisaranten Bina Harapan, Kelurahan Cisaranten Bina Harapan",III/d,2012-04-01,IV.b,Sekretaris Lurah Kel. Cisaranten Bina Harapan,2017-01-10,PNS,1987-04-01,Laki-laki,SLTA,S1
"Drs.Jajang Kurnia,M.AP",1993-03,Kecamatan Arcamanik,Kelurahan Cisaranten Endah,IV/a,2015-10-01,IV.a,Lurah Cisaranten Endah,2017-01-10,PNS,1994-09-01,Laki-laki,S1,S2
"Mohamad Tresna Mursid,S.Sos. MSi.",1998-03,Kecamatan Arcamanik,KELURAHAN CISARANTEN KULON,IV/a,2014-04-01,IV.a,Lurah Cisaranten Kulon,2017-01-10,PNS,1998-06-01,Laki-laki,S1,S2
"Deden Mardeni,A.Md",1989-02,Kecamatan Arcamanik,Kelurahan Cisaranten Bina Harapan,III/d,2013-10-01,IV.a,Lurah Kel. Cisaranten Bina Harapan,2017-01-10,PNS,1990-05-01,Laki-laki,SLTA,D3
"Farida Agustini,S.Pd.",1986-02,Kecamatan Arcamanik,Kelurahan Sukamiskin,III/d,2011-04-01,IV.a,Lurah Sukamiskin,2017-01-10,PNS,1987-01-01,Perempuan,SLTA,S1
